sample_id,trial_number,scent_id,scent_name,phase,time_s,temp_C,humidity_pct,pressure_kPa,gas_bme,srawVoc,srawNox,NO2,ethanol,VOC_multichannel,COandH2
1,1,7,apple,baseline,0,23.48,32.58,100.94,113.87,30646,14583,223,371,394,855
1,1,7,apple,baseline,1.215,23.48,32.59,100.94,112.87,30656,14576,224,371,394,856
1,1,7,apple,baseline,2.43,23.48,32.58,100.94,113.25,30624,14576,224,371,394,857
1,1,7,apple,baseline,3.645,23.47,32.58,100.94,114.18,30605,14580,223,370,394,857
1,1,7,apple,baseline,4.86,23.47,32.58,100.94,113.95,30614,14576,223,370,393,858
1,1,7,apple,baseline,6.075,23.47,32.57,100.94,114.33,30659,14583,223,370,393,856
1,1,7,apple,baseline,7.29,23.47,32.59,100.94,113.79,30666,14584,222,370,392,855
1,1,7,apple,baseline,8.505,23.47,32.57,100.94,114.65,30657,14575,222,370,392,855
1,1,7,apple,baseline,9.72,23.47,32.57,100.94,114.26,30706,14584,220,369,391,854
1,1,7,apple,baseline,10.935,23.47,32.6,100.94,113.64,30657,14578,221,369,392,853
1,1,7,apple,baseline,12.15,23.47,32.59,100.94,113.48,30680,14584,221,369,392,853
1,1,7,apple,baseline,13.365,23.46,32.58,100.94,113.79,30724,14579,222,370,391,854
1,1,7,apple,baseline,14.58,23.46,32.6,100.94,114.18,30667,14581,223,369,391,854
1,1,7,apple,baseline,15.795,23.47,32.6,100.94,113.41,30720,14585,222,369,391,854
1,1,7,apple,baseline,17.01,23.47,32.59,100.94,114.57,30683,14582,222,369,390,855
1,1,7,apple,baseline,18.225,23.47,32.6,100.94,114.1,30687,14577,221,369,390,854
1,1,7,apple,baseline,19.44,23.47,32.59,100.94,114.65,30734,14577,221,368,390,854
1,1,7,apple,baseline,20.655,23.47,32.58,100.94,114.18,30662,14587,221,368,390,854
1,1,7,apple,baseline,21.87,23.46,32.6,100.94,114.57,30670,14588,220,369,389,853
1,1,7,apple,baseline,23.085,23.46,32.6,100.94,114.1,30687,14577,221,368,389,853
1,1,7,apple,baseline,24.3,23.46,32.6,100.94,114.18,30776,14578,221,368,389,853
1,1,7,apple,baseline,25.515,23.45,32.6,100.94,114.18,30728,14578,221,368,388,857
1,1,7,apple,baseline,26.73,23.46,32.61,100.94,114.18,30697,14578,220,368,388,855
1,1,7,apple,baseline,27.945,23.46,32.58,100.94,113.87,30721,14586,219,368,387,854
1,1,7,apple,baseline,29.16,23.46,32.62,100.94,113.87,30725,14585,218,367,387,853
1,1,7,apple,exposure,30.375,23.46,32.61,100.94,100.06,30763,14581,219,370,391,931
1,1,7,apple,exposure,31.59,23.47,32.73,100.94,62.86,26548,14591,272,418,435,1016
1,1,7,apple,exposure,32.805,23.47,33.05,100.94,47.88,25663,14604,303,453,469,1018
1,1,7,apple,exposure,34.02,23.46,33.51,100.94,41.18,25273,14629,325,483,496,1018
1,1,7,apple,exposure,35.235,23.47,34.01,100.94,37.19,25123,14664,338,505,519,1018
1,1,7,apple,exposure,36.45,23.47,34.54,100.94,34.96,25047,14687,348,523,539,1017
1,1,7,apple,exposure,37.665,23.48,35.01,100.94,33.78,25033,14715,355,538,554,1018
1,1,7,apple,exposure,38.88,23.47,35.46,100.94,32.77,25034,14739,361,554,568,1019
1,1,7,apple,exposure,40.095,23.48,35.88,100.94,31.95,24983,14758,366,567,581,1018
1,1,7,apple,exposure,41.31,23.48,36.26,100.94,31.26,25006,14770,371,579,594,1019
1,1,7,apple,exposure,42.525,23.48,36.59,100.94,30.93,24951,14788,376,589,605,1018
1,1,7,apple,exposure,43.74,23.48,36.9,100.94,30.71,24965,14801,379,596,615,1018
1,1,7,apple,exposure,44.955,23.48,37.15,100.94,30.78,24963,14817,382,603,623,1019
1,1,7,apple,exposure,46.17,23.49,37.38,100.94,30.69,24985,14829,383,610,631,1019
1,1,7,apple,exposure,47.385,23.49,37.58,100.94,30.64,24947,14845,386,615,638,1018
1,1,7,apple,exposure,48.6,23.49,37.78,100.94,30.87,24917,14849,386,621,645,1018
1,1,7,apple,exposure,49.815,23.49,37.94,100.94,30.6,24901,14860,388,626,651,1018
1,1,7,apple,exposure,51.03,23.49,38.05,100.94,30.55,24904,14865,390,630,657,1019
1,1,7,apple,exposure,52.245,23.5,38.19,100.94,30.51,24962,14872,392,635,662,1018
1,1,7,apple,exposure,53.46,23.5,38.31,100.94,30.71,24857,14877,393,639,667,1017
1,1,7,apple,exposure,54.675,23.51,38.41,100.94,30.66,24869,14887,394,643,670,1019
1,1,7,apple,exposure,55.89,23.49,38.5,100.94,30.71,24919,14885,394,646,675,1018
1,1,7,apple,exposure,57.105,23.51,38.58,100.94,30.75,24891,14894,395,649,679,1018
1,1,7,apple,exposure,58.32,23.51,38.65,100.94,30.82,24879,14893,395,652,682,1018
1,1,7,apple,exposure,59.535,23.51,38.71,100.94,30.73,24879,14903,396,656,685,1018
1,1,7,apple,exposure,60.75,23.52,38.76,100.94,30.89,24838,14903,397,658,689,1018
1,1,7,apple,exposure,61.965,23.52,38.83,100.94,30.78,24833,14905,398,661,692,1019
1,1,7,apple,exposure,63.18,23.52,38.86,100.94,30.71,24800,14904,398,662,694,1018
1,1,7,apple,exposure,64.395,23.52,38.91,100.94,30.51,24795,14911,399,665,698,1018
1,1,7,apple,exposure,65.61,23.52,38.95,100.94,30.4,24821,14907,400,667,702,1018
1,1,7,apple,exposure,66.825,23.53,38.98,100.94,30.64,24861,14914,400,669,703,1017
1,1,7,apple,exposure,68.04,23.52,39.04,100.94,30.69,24878,14913,401,671,704,1018
1,1,7,apple,exposure,69.255,23.53,39.03,100.94,30.89,24903,14907,401,672,706,1018
1,1,7,apple,exposure,70.47,23.53,39.06,100.94,31.05,24909,14917,401,674,708,1018
1,1,7,apple,exposure,71.685,23.53,39.07,100.94,31.42,24887,14914,402,674,710,1018
1,1,7,apple,exposure,72.9,23.54,39.08,100.94,31.49,24904,14911,402,676,712,1018
1,1,7,apple,exposure,74.115,23.54,39.08,100.94,31.4,24886,14920,402,677,713,1018
1,1,7,apple,exposure,75.33,23.54,39.09,100.94,31.47,24927,14923,403,679,714,1017
1,1,7,apple,exposure,76.545,23.54,39.1,100.94,31.49,24940,14917,403,681,715,1018
1,1,7,apple,exposure,77.76,23.55,39.11,100.94,31.61,24952,14923,403,682,717,1018
1,1,7,apple,exposure,78.975,23.54,39.08,100.94,31.71,24931,14912,404,683,718,1017
1,1,7,apple,exposure,80.19,23.55,39.11,100.94,31.66,24937,14916,405,684,719,1018
1,1,7,apple,exposure,81.405,23.54,39.09,100.94,31.85,24899,14915,405,685,720,1018
1,1,7,apple,exposure,82.62,23.55,39.1,100.94,31.95,24860,14921,405,686,720,1018
1,1,7,apple,exposure,83.835,23.55,39.1,100.94,31.78,24847,14912,404,686,722,1018
1,1,7,apple,exposure,85.05,23.56,39.13,100.94,31.66,24820,14920,405,687,723,1018
1,1,7,apple,exposure,86.265,23.56,39.13,100.95,31.71,24850,14913,404,687,724,1018
1,1,7,apple,exposure,87.48,23.56,39.11,100.94,31.56,24796,14920,405,687,725,1019
1,1,7,apple,exposure,88.695,23.56,39.14,100.94,31.61,24852,14921,405,688,726,1017
