ID,Device ID,Scent,Session ID,Phase,Timestamp,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Ethanol,CoH2,VocRaw,NoxRaw,Predicted Scent,Confidence,Created At
11,EnoseDevice001,no_scent,20260309_1313_session_01,stabilisation,Mon Mar 09 2026 13:13:45 GMT+0100 (Central European Standard Time),21.08,54.07,,21.64,633,304,585,449,29117,14340,no_scent,0.54,Mon Mar 09 2026 13:13:46 GMT+0100 (Central European Standard Time)
12,EnoseDevice001,no_scent,20260309_1313_session_01,stabilisation,Mon Mar 09 2026 13:13:49 GMT+0100 (Central European Standard Time),21.11,54.35,,22.77,630,300,581,429,29168,14363,no_scent,1.0,Mon Mar 09 2026 13:13:50 GMT+0100 (Central European Standard Time)
13,EnoseDevice001,no_scent,20260309_1313_session_01,stabilisation,Mon Mar 09 2026 13:13:53 GMT+0100 (Central European Standard Time),21.11,54.35,,22.77,630,300,581,429,29168,14363,no_scent,0.54,Mon Mar 09 2026 13:13:54 GMT+0100 (Central European Standard Time)
14,EnoseDevice001,no_scent,20260309_1313_session_01,stabilisation,Mon Mar 09 2026 13:13:58 GMT+0100 (Central European Standard Time),21.11,54.35,,22.77,630,300,581,429,29168,14363,no_scent,0.54,Mon Mar 09 2026 13:13:59 GMT+0100 (Central European Standard Time)
15,EnoseDevice001,no_scent,20260309_1313_session_01,stabilisation,Mon Mar 09 2026 13:14:02 GMT+0100 (Central European Standard Time),21.11,54.35,,22.77,630,300,581,429,29168,14363,no_scent,0.54,Mon Mar 09 2026 13:14:03 GMT+0100 (Central European Standard Time)
16,EnoseDevice001,no_scent,20260309_1313_session_01,stabilisation,Mon Mar 09 2026 13:14:06 GMT+0100 (Central European Standard Time),21.11,54.35,,22.77,630,300,581,429,29168,14363,no_scent,0.54,Mon Mar 09 2026 13:14:07 GMT+0100 (Central European Standard Time)
17,EnoseDevice001,no_scent,20260309_1313_session_01,stabilisation,Mon Mar 09 2026 13:14:10 GMT+0100 (Central European Standard Time),21.11,54.35,,22.77,630,300,581,429,29168,14363,no_scent,0.54,Mon Mar 09 2026 13:14:11 GMT+0100 (Central European Standard Time)
18,EnoseDevice001,no_scent,20260309_1313_session_01,stabilisation,Mon Mar 09 2026 13:14:14 GMT+0100 (Central European Standard Time),21.11,54.35,,22.77,630,300,581,429,29168,14363,no_scent,0.54,Mon Mar 09 2026 13:14:15 GMT+0100 (Central European Standard Time)
19,EnoseDevice001,no_scent,20260309_1313_session_01,stabilisation,Mon Mar 09 2026 13:14:19 GMT+0100 (Central European Standard Time),21.11,54.35,,22.77,630,300,581,429,29168,14363,no_scent,0.54,Mon Mar 09 2026 13:14:20 GMT+0100 (Central European Standard Time)
20,EnoseDevice001,no_scent,20260309_1313_session_01,stabilisation,Mon Mar 09 2026 13:14:23 GMT+0100 (Central European Standard Time),21.02,53.28,,21.78,626,297,576,429,29168,14295,no_scent,1.0,Mon Mar 09 2026 13:14:24 GMT+0100 (Central European Standard Time)
21,EnoseDevice001,no_scent,20260309_1313_session_01,exposure,Mon Mar 09 2026 13:15:01 GMT+0100 (Central European Standard Time),21.03,53.18,,21.55,625,296,573,429,29192,14292,no_scent,0.54,Mon Mar 09 2026 13:15:02 GMT+0100 (Central European Standard Time)
22,EnoseDevice001,no_scent,20260309_1313_session_01,exposure,Mon Mar 09 2026 13:15:05 GMT+0100 (Central European Standard Time),21.03,53.18,,21.55,625,296,573,429,29192,14292,no_scent,0.54,Mon Mar 09 2026 13:15:06 GMT+0100 (Central European Standard Time)
23,EnoseDevice001,no_scent,20260309_1313_session_01,exposure,Mon Mar 09 2026 13:15:09 GMT+0100 (Central European Standard Time),21.03,53.05,,22.69,624,296,572,430,29200,14284,no_scent,0.54,Mon Mar 09 2026 13:15:10 GMT+0100 (Central European Standard Time)
24,EnoseDevice001,no_scent,20260309_1313_session_01,exposure,Mon Mar 09 2026 13:15:13 GMT+0100 (Central European Standard Time),21.03,53.05,,22.69,624,296,572,430,29200,14284,no_scent,0.54,Mon Mar 09 2026 13:15:14 GMT+0100 (Central European Standard Time)
25,EnoseDevice001,no_scent,20260309_1313_session_01,exposure,Mon Mar 09 2026 13:15:18 GMT+0100 (Central European Standard Time),21.03,53.05,,22.69,624,296,572,430,29200,14284,no_scent,0.54,Mon Mar 09 2026 13:15:19 GMT+0100 (Central European Standard Time)
